Name,Ticker,Morningstar Sustainability Rating,Yield (%),Morningstar Category,Portfolio Sustainability Score,Portfolio Environmental Score,Portfolio Social Score,Portfolio Governance Score,Sustainable Investment by Prospectus,Sustainable Investment - ESG Fund,Sustainable Investment - Impact Fund,Sustainable Investment - Environmental Sector Fund,Animal Testing,% Alcohol,% Fossil Fuels,% Small Arms,% Thermal Coal,% Tobacco,YTD Return (%),1 Year Annualized (%),3 Years Annualized (%),5 Years Annualized (%),10 Years Annualized (%),Fund Size (Mil),Equity StyleBox,Fixed Income StyleBox,Average Market Cap (Mil),Average Credit Quality
American Beacon Shapiro Equity Opps Y,SHXYX,4,0.32,US Equity Large Cap Value,21.81,5.19,8.96,6.87,No,No,No,No,0,0,8.05,0,0,0,17.95,26.82,16.54,6.01,5.82,259.23,Mid Value,,37277.76,AAA
American Beacon Stephens Mid-Cap Gr A,SMFAX,4,0,US Equity Mid Cap,21.36,3.07,9.6,6.58,No,No,No,No,0,0.83,1.32,0,0,0,8.89,16.82,21.86,20.99,15.36,767.24,Mid Growth,,23132.92,AAA
American Beacon Stephens Mid-Cap Gr C,SMFCX,4,0,US Equity Mid Cap,21.36,3.07,9.6,6.58,No,No,No,No,0,0.83,1.32,0,0,0,8.09,15.91,20.95,20.09,14.51,767.24,Mid Growth,,23132.92,AAA
American Beacon Stephens Mid-Cap Gr Inv,STMGX,4,0,US Equity Mid Cap,21.36,3.07,9.6,6.58,No,No,No,No,0,0.83,1.32,0,0,0,8.91,16.83,21.85,21.03,15.42,767.24,Mid Growth,,23132.92,AAA
American Beacon Stephens Mid-Cap Gr R5,SFMIX,4,0,US Equity Mid Cap,21.36,3.07,9.6,6.58,No,No,No,No,0,0.83,1.32,0,0,0,9.13,17.12,22.25,21.41,15.81,767.24,Mid Growth,,23132.92,AAA
American Beacon Stephens Mid-Cap Gr R6,SFMRX,4,0,US Equity Mid Cap,21.36,3.07,9.6,6.58,No,No,No,No,0,0.83,1.32,0,0,0,9.18,17.16,22.29,21.29,15.54,767.24,Mid Growth,,23132.92,AAA
American Beacon Stephens Mid-Cap Gr Y,SMFYX,4,0,US Equity Mid Cap,21.36,3.07,9.6,6.58,No,No,No,No,0,0.83,1.32,0,0,0,9.08,17.04,22.16,21.31,15.72,767.24,Mid Growth,,23132.92,AAA
American Beacon Stephens Sm Cp Gr A,SPWAX,3,0,US Equity Small Cap,26.46,1.15,3.48,2.15,No,No,No,No,0,0,0.91,0,0,0,13.07,24.76,18.45,18.3,14.21,442.69,Small Growth,,5108.25,AAA
American Beacon Stephens Sm Cp Gr C,SPWCX,3,0,US Equity Small Cap,26.46,1.15,3.48,2.15,No,No,No,No,0,0,0.91,0,0,0,14.76,26.49,18.38,17.9,13.59,442.69,Small Growth,,5108.25,AAA
American Beacon Stephens Sm Cp Gr Inv,STSGX,3,0,US Equity Small Cap,26.46,1.15,3.48,2.15,No,No,No,No,0,0,0.91,0,0,0,13.09,24.81,18.44,18.31,14.31,442.69,Small Growth,,5108.25,AAA
American Beacon Stephens Sm Cp Gr R5,STSIX,3,0,US Equity Small Cap,26.46,1.15,3.48,2.15,No,No,No,No,0,0,0.91,0,0,0,13.44,25.16,18.81,18.65,14.64,442.69,Small Growth,,5108.25,AAA
American Beacon Stephens Sm Cp Gr R6,STSRX,3,0,US Equity Small Cap,26.46,1.15,3.48,2.15,No,No,No,No,0,0,0.91,0,0,0,13.42,25.19,18.8,18.53,14.42,442.69,Small Growth,,5108.25,AAA
American Beacon Stephens Sm Cp Gr Y,SPWYX,3,0,US Equity Small Cap,26.46,1.15,3.48,2.15,No,No,No,No,0,0,0.91,0,0,0,13.33,25.12,18.73,18.58,14.55,442.69,Small Growth,,5108.25,AAA
American Beacon The London Co Inc Eq A,ABCAX,5,1.23,US Equity Large Cap Value,19.9,3.9,8.77,7.23,No,No,No,No,0,3.65,13.06,0,3.4,4.34,17.76,20.98,14.16,12.83,14.55,1849.02,Large Value,,177361.58,AAA
American Beacon The London Co Inc Eq C,ABECX,5,0.57,US Equity Large Cap Value,19.9,3.9,8.77,7.23,No,No,No,No,0,3.65,13.06,0,3.4,4.34,17.02,20.15,13.31,11.98,14.55,1849.02,Large Value,,177361.58,AAA
American Beacon The London Co Inc Eq Inv,ABCVX,5,1.2,US Equity Large Cap Value,19.9,3.9,8.77,7.23,No,No,No,No,0,3.65,13.06,0,3.4,4.34,17.71,20.96,14.13,12.82,14.55,1849.02,Large Value,,177361.58,AAA
American Beacon The London Co Inc Eq R5,ABCIX,5,1.48,US Equity Large Cap Value,19.9,3.9,8.77,7.23,No,No,No,No,0,3.65,13.06,0,3.4,4.34,18.06,21.31,14.51,13.19,14.55,1849.02,Large Value,,177361.58,AAA
American Beacon The London Co Inc Eq R6,ABCRX,5,1.35,US Equity Large Cap Value,19.9,3.9,8.77,7.23,No,No,No,No,0,3.65,13.06,0,3.4,4.34,18.2,21.52,14.58,13.23,14.55,1849.02,Large Value,,177361.58,AAA
American Beacon The London Co Inc Eq Y,ABCYX,5,1.44,US Equity Large Cap Value,19.9,3.9,8.77,7.23,No,No,No,No,0,3.65,13.06,0,3.4,4.34,18.06,21.32,14.45,13.12,14.55,1849.02,Large Value,,177361.58,AAA
American Century Balanced I,ABINX,4,0.88,Moderate Allocation,20.13,3.14,9.14,7.02,Yes,Yes,No,No,0,0.14,4,0.1,0.75,0,13.49,16.12,13.64,11.28,9.96,1126.42,Large Core,Medium Moderate,223395.75,BBB
American Century Balanced Inv,TWBIX,4,0.7,Moderate Allocation,20.13,3.14,9.14,7.02,Yes,Yes,No,No,0,0.14,4,0.1,0.75,0,13.28,15.9,13.43,11.05,9.73,1126.42,Large Core,Medium Moderate,223395.75,BBB
American Century Balanced R5,ABGNX,4,0.88,Moderate Allocation,20.13,3.14,9.14,7.02,Yes,Yes,No,No,0,0.14,4,0.1,0.75,0,13.49,16.12,13.67,11.26,9.84,1126.42,Large Core,Medium Moderate,223395.75,BBB
American Century Disciplined Growth I,ADCIX,4,0,US Equity Large Cap Growth,19.78,2.35,9.37,7.06,No,No,No,No,0,0,0,0.26,0,0,22.69,29.46,24.99,20.88,17.03,532.64,Large Growth,,209245.24,BBB
American Century Disciplined Growth Inv,ADSIX,4,0,US Equity Large Cap Growth,19.78,2.35,9.37,7.06,No,No,No,No,0,0,0,0.26,0,0,22.47,29.22,24.76,20.65,16.8,532.64,Large Growth,,209245.24,BBB
American Century Disciplined Growth R5,ADGGX,4,0,US Equity Large Cap Growth,19.78,2.35,9.37,7.06,No,No,No,No,0,0,0,0.26,0,0,22.68,29.44,24.99,20.88,17.03,532.64,Large Growth,,209245.24,BBB
American Century Disciplined Growth Y,ADCYX,4,0,US Equity Large Cap Growth,19.78,2.35,9.37,7.06,No,No,No,No,0,0,0,0.26,0,0,22.74,29.5,25.06,20.93,17.06,532.64,Large Growth,,209245.24,BBB
American Century Discplnd Cor Val A,AMADX,4,0.82,US Equity Large Cap Value,22.51,4.19,9.6,7.11,No,No,No,No,0,0.16,8.24,0.56,0.8,0.01,17.18,20.89,13.78,12.87,12.99,3036.31,Large Value,,48684.51,BBB
American Century Discplnd Cor Val C,ACGCX,4,0.21,US Equity Large Cap Value,22.51,4.19,9.6,7.11,No,No,No,No,0,0.16,8.24,0.56,0.8,0.01,16.39,19.98,12.94,12.03,12.14,3036.31,Large Value,,48684.51,BBB
American Century Discplnd Cor Val I,AMGIX,4,1.2,US Equity Large Cap Value,22.51,4.19,9.6,7.11,No,No,No,No,0,0.16,8.24,0.56,0.8,0.01,17.66,21.44,14.29,13.39,13.5,3036.31,Large Value,,48684.51,BBB
American Century Discplnd Cor Val Inv,BIGRX,4,1.03,US Equity Large Cap Value,22.51,4.19,9.6,7.11,No,No,No,No,0,0.16,8.24,0.56,0.8,0.01,17.44,21.18,14.06,13.15,13.27,3036.31,Large Value,,48684.51,BBB
American Century Discplnd Cor Val R,AICRX,4,0.61,US Equity Large Cap Value,22.51,4.19,9.6,7.11,No,No,No,No,0,0.16,8.24,0.56,0.8,0.01,16.91,20.56,13.49,12.59,12.7,3036.31,Large Value,,48684.51,BBB
American Century Discplnd Cor Val R5,AICGX,4,1.2,US Equity Large Cap Value,22.51,4.19,9.6,7.11,No,No,No,No,0,0.16,8.24,0.56,0.8,0.01,17.65,21.43,14.29,13.37,13.38,3036.31,Large Value,,48684.51,BBB
American Century Diversified Bond I,ACBPX,3,1.67,US Fixed Income,24.89,3.16,10.24,6.6,No,No,No,No,0,0.46,3.73,0.31,2.49,0,-0.34,0.01,5.94,3.71,3.2,1983.45,Small Value,Medium Moderate,48684.51,BBB
American Century Diversified Bond Inv,ADFIX,3,1.47,US Fixed Income,24.89,3.16,10.24,6.6,No,No,No,No,0,0.46,3.73,0.31,2.49,0,-0.52,-0.19,5.77,3.51,2.99,1983.45,Small Value,Medium Moderate,48684.51,BBB
American Century Diversified Bond R5,ADRVX,3,1.68,US Fixed Income,24.89,3.16,10.24,6.6,No,No,No,No,0,0.46,3.73,0.31,2.49,0,-0.33,0.02,5.98,3.72,3.2,1983.45,Small Value,Medium Moderate,48684.51,BBB
American Century Diversified Bond R6,ADDVX,3,1.72,US Fixed Income,24.89,3.16,10.24,6.6,No,No,No,No,0,0.46,3.73,0.31,2.49,0,-0.29,0.06,6.02,3.78,3.25,1983.45,Small Value,Medium Moderate,48684.51,BBB
American Century Diversified Bond Y,ADVYX,3,1.7,US Fixed Income,24.89,3.16,10.24,6.6,No,No,No,No,0,0.46,3.73,0.31,2.49,0,-0.22,0.13,6,3.76,3.22,1983.45,Small Value,Medium Moderate,48684.51,BBB
American Century Emerging Markets A,AEMMX,4,0.31,Global Emerging Markets Equity,24.64,4.61,8.28,8.24,No,No,No,No,0,0.92,4.06,0,0,0,-7.5,0.61,10.91,10.25,6.56,3256.39,Large Growth,,53139.6,BBB
American Century Emerging Markets C,ACECX,4,0,Global Emerging Markets Equity,24.64,4.61,8.28,8.24,No,No,No,No,0,0.92,4.06,0,0,0,-8.13,-0.17,10.07,9.43,5.77,3256.39,Large Growth,,53139.6,BBB
American Century Emerging Markets I,AMKIX,4,0.75,Global Emerging Markets Equity,24.64,4.61,8.28,8.24,No,No,No,No,0,0.92,4.06,0,0,0,-7.09,1.09,11.39,10.77,7.03,3256.39,Large Growth,,53139.6,BBB
American Century Emerging Markets Inv,TWMIX,4,0.56,Global Emerging Markets Equity,24.64,4.61,8.28,8.24,No,No,No,No,0,0.92,4.06,0,0,0,-7.26,0.91,11.21,10.54,6.82,3256.39,Large Growth,,53139.6,BBB
American Century Emerging Markets R,AEMRX,4,0.04,Global Emerging Markets Equity,24.64,4.61,8.28,8.24,No,No,No,No,0,0.92,4.06,0,0,0,-7.65,0.41,10.64,9.98,6.29,3256.39,Large Growth,,53139.6,BBB
American Century Emerging Markets R5,AEGMX,4,0.75,Global Emerging Markets Equity,24.64,4.61,8.28,8.24,No,No,No,No,0,0.92,4.06,0,0,0,-7.08,1.09,11.38,10.73,6.91,3256.39,Large Growth,,53139.6,BBB
American Century Emerging Markets R6,AEDMX,4,0.9,Global Emerging Markets Equity,24.64,4.61,8.28,8.24,No,No,No,No,0,0.92,4.06,0,0,0,-6.95,1.24,11.58,10.92,7.14,3256.39,Large Growth,,53139.6,BBB
American Century Emerging Markets Y,AEYMX,4,0.9,Global Emerging Markets Equity,24.64,4.61,8.28,8.24,No,No,No,No,0,0.92,4.06,0,0,0,-7,1.24,11.56,10.88,6.99,3256.39,Large Growth,,53139.6,BBB
American Century Emerging Mkts Dbt A,AEDQX,3,3.42,Emerging Markets Fixed Income,32.05,5.35,4.96,4.14,No,No,No,No,0,0,31.11,0,6.98,0,-3.25,-1.5,5.11,3.73,6.99,690.96,Large Value,Low Moderate,73664.75,BB
American Century Emerging Mkts Dbt G,AEDGX,3,4.64,Emerging Markets Fixed Income,32.05,5.35,4.96,4.14,No,No,No,No,0,0,31.11,0,6.98,0,-2.18,-0.3,6.42,4.86,6.99,690.96,Large Value,Low Moderate,73664.75,BB
American Century Emerging Mkts Dbt I,AEHDX,3,3.77,Emerging Markets Fixed Income,32.05,5.35,4.96,4.14,No,No,No,No,0,0,31.11,0,6.98,0,-2.94,-1.15,5.51,4.1,6.99,690.96,Large Value,Low Moderate,73664.75,BB
American Century Emerging Mkts Dbt Inv,AEDVX,3,3.67,Emerging Markets Fixed Income,32.05,5.35,4.96,4.14,No,No,No,No,0,0,31.11,0,6.98,0,-3.03,-1.25,5.41,3.99,6.99,690.96,Large Value,Low Moderate,73664.75,BB
American Century Emerging Mkts Dbt R,AEDWX,3,3.17,Emerging Markets Fixed Income,32.05,5.35,4.96,4.14,No,No,No,No,0,0,31.11,0,6.98,0,-3.47,-1.75,4.89,3.5,6.99,690.96,Large Value,Low Moderate,73664.75,BB
American Century Emerging Mkts Dbt R5,AEDJX,3,3.86,Emerging Markets Fixed Income,32.05,5.35,4.96,4.14,No,No,No,No,0,0,31.11,0,6.98,0,-2.86,-1.06,5.59,4.21,6.99,690.96,Large Value,Low Moderate,73664.75,BB
American Century Emerging Mkts Dbt R6,AEXDX,3,3.92,Emerging Markets Fixed Income,32.05,5.35,4.96,4.14,No,No,No,No,0,0,31.11,0,6.98,0,-2.81,-1,5.63,4.25,6.99,690.96,Large Value,Low Moderate,73664.75,BB
American Century Emerging Mkts Dbt Y,AEYDX,3,3.87,Emerging Markets Fixed Income,32.05,5.35,4.96,4.14,No,No,No,No,0,0,31.11,0,6.98,0,-2.85,-1.05,5.62,4.2,6.99,690.96,Large Value,Low Moderate,73664.75,BB
American Century Equity Growth A,BEQAX,3,0.38,US Equity Large Cap Blend,21.21,3.14,9.6,7.12,No,No,No,No,0,0.13,4.07,0.45,0,0,22.97,27.49,18.09,15.72,14.19,2694.59,Large Core,,127580.2,BB
American Century Equity Growth I,AMEIX,3,0.75,US Equity Large Cap Blend,21.21,3.14,9.6,7.12,No,No,No,No,0,0.13,4.07,0.45,0,0,23.5,28.07,18.62,16.24,14.7,2694.59,Large Core,,127580.2,BB
American Century Equity Growth Inv,BEQGX,3,0.59,US Equity Large Cap Blend,21.21,3.14,9.6,7.12,No,No,No,No,0,0.13,4.07,0.45,0,0,23.25,27.79,18.38,16.01,14.47,2694.59,Large Core,,127580.2,BB
American Century Equity Growth R,AEYRX,3,0.17,US Equity Large Cap Blend,21.21,3.14,9.6,7.12,No,No,No,No,0,0.13,4.07,0.45,0,0,22.7,27.16,17.79,15.42,13.9,2694.59,Large Core,,127580.2,BB
American Century Equity Growth R5,AEYGX,3,0.75,US Equity Large Cap Blend,21.21,3.14,9.6,7.12,No,No,No,No,0,0.13,4.07,0.45,0,0,23.46,28.03,18.62,16.22,14.57,2694.59,Large Core,,127580.2,BB
American Century Focused Global Gr A,AGGRX,3,0,Global Equity Large Cap,21.22,4.06,9.05,7.29,No,No,No,No,0,2.9,5.86,2.73,0,0,9.52,13.99,20.6,17.75,13.19,758.29,Large Growth,,100051.55,BB
American Century Focused Global Gr C,AGLCX,3,0,Global Equity Large Cap,21.22,4.06,9.05,7.29,No,No,No,No,0,2.9,5.86,2.73,0,0,8.73,12.99,19.67,16.85,12.33,758.29,Large Growth,,100051.55,BB
American Century Focused Global Gr I,AGGIX,3,0,Global Equity Large Cap,21.22,4.06,9.05,7.29,No,No,No,No,0,2.9,5.86,2.73,0,0,9.96,14.45,21.12,18.27,13.7,758.29,Large Growth,,100051.55,BB
American Century Focused Global Gr Inv,TWGGX,3,0,Global Equity Large Cap,21.22,4.06,9.05,7.29,No,No,No,No,0,2.9,5.86,2.73,0,0,9.73,14.18,20.89,18.02,13.46,758.29,Large Growth,,100051.55,BB
American Century Focused Global Gr R,AGORX,3,0,Global Equity Large Cap,21.22,4.06,9.05,7.29,No,No,No,No,0,2.9,5.86,2.73,0,0,9.27,13.71,20.31,17.44,12.91,758.29,Large Growth,,100051.55,BB
American Century Focused Global Gr R5,AGFGX,3,0,Global Equity Large Cap,21.22,4.06,9.05,7.29,No,No,No,No,0,2.9,5.86,2.73,0,0,9.88,14.45,21.12,18.24,13.57,758.29,Large Growth,,100051.55,BB
American Century Focused Global Gr R6,AGGDX,3,0,Global Equity Large Cap,21.22,4.06,9.05,7.29,No,No,No,No,0,2.9,5.86,2.73,0,0,10.02,14.57,21.32,18.43,13.79,758.29,Large Growth,,100051.55,BB
American Century Focused Global Gr Y,AGYGX,3,0,Global Equity Large Cap,21.22,4.06,9.05,7.29,No,No,No,No,0,2.9,5.86,2.73,0,0,10.08,14.62,21.31,18.42,13.65,758.29,Large Growth,,100051.55,BB
American Century Focused Intl Gr A,AFCLX,5,0,Global Equity Large Cap,18.62,3.11,7.62,6.1,No,No,No,No,0,2.25,4.81,0,0,0,5.31,9.85,20.12,16.28,13.65,61.02,Large Growth,,53635.96,BB
American Century Focused Intl Gr C,AFCHX,5,0,Global Equity Large Cap,18.62,3.11,7.62,6.1,No,No,No,No,0,2.25,4.81,0,0,0,4.64,9.04,19.27,15.43,13.65,61.02,Large Growth,,53635.96,BB
American Century Focused Intl Gr G,AFCGX,5,0.06,Global Equity Large Cap,18.62,3.11,7.62,6.1,No,No,No,No,0,2.25,4.81,0,0,0,6.6,11.28,21.7,17.47,13.65,61.02,Large Growth,,53635.96,BB
American Century Focused Intl Gr I,AFCSX,5,0,Global Equity Large Cap,18.62,3.11,7.62,6.1,No,No,No,No,0,2.25,4.81,0,0,0,5.76,10.33,20.67,16.8,13.65,61.02,Large Growth,,53635.96,BB
American Century Focused Intl Gr Inv,AFCNX,5,0,Global Equity Large Cap,18.62,3.11,7.62,6.1,No,No,No,No,0,2.25,4.81,0,0,0,5.53,10.11,20.43,16.56,13.65,61.02,Large Growth,,53635.96,BB
American Century Focused Intl Gr R,AFCWX,5,0,Global Equity Large Cap,18.62,3.11,7.62,6.1,No,No,No,No,0,2.25,4.81,0,0,0,5.07,9.58,19.83,15.98,13.65,61.02,Large Growth,,53635.96,BB
American Century Focused Intl Gr R6,AFCMX,5,0,Global Equity Large Cap,18.62,3.11,7.62,6.1,No,No,No,No,0,2.25,4.81,0,0,0,5.89,10.51,20.84,16.98,13.65,61.02,Large Growth,,53635.96,BB
American Century Ginnie Mae R5,AGMNX,3,1.99,US Fixed Income,18.62,3.11,7.62,6.1,No,No,No,No,0,0,0,0,0,0,-1.27,-1.16,3.52,2.17,1.92,655.7,,High Limited,53635.96,AA
American Century Global Gold A,ACGGX,3,0.95,Precious Metals Sector Equity,28.56,11.01,9.55,5.6,No,No,No,No,0,0,12.27,0,1.12,0,-10.86,-6.69,17.16,8.37,-5.17,582.62,Mid Core,,10691.21,AA
American Century Global Gold C,AGYCX,3,0.1,Precious Metals Sector Equity,28.56,11.01,9.55,5.6,No,No,No,No,0,0,12.27,0,1.12,0,-11.39,-7.33,16.29,7.6,-5.86,582.62,Mid Core,,10691.21,AA
American Century Global Gold I,AGGNX,3,1.42,Precious Metals Sector Equity,28.56,11.01,9.55,5.6,No,No,No,No,0,0,12.27,0,1.12,0,-10.46,-6.26,17.68,8.87,-4.73,582.62,Mid Core,,10691.21,AA
American Century Global Gold Inv,BGEIX,3,1.21,Precious Metals Sector Equity,28.56,11.01,9.55,5.6,No,No,No,No,0,0,12.27,0,1.12,0,-10.58,-6.38,17.45,8.68,-4.92,582.62,Mid Core,,10691.21,AA
American Century Global Gold R,AGGWX,3,0.67,Precious Metals Sector Equity,28.56,11.01,9.55,5.6,No,No,No,No,0,0,12.27,0,1.12,0,-11.02,-6.95,16.88,8.11,-5.4,582.62,Mid Core,,10691.21,AA
American Century Global Real Estate A,ARYMX,3,0.6,Real Estate Sector Equity,14.63,3.69,3.99,4.95,No,No,No,No,0,0,0,0,0,0,22.09,26.9,14.16,11.24,9.83,164.26,Mid Core,,13195.32,AA
American Century Global Real Estate C,ARYTX,3,0,Real Estate Sector Equity,14.63,3.69,3.99,4.95,No,No,No,No,0,0,0,0,0,0,21.21,25.91,13.3,10.43,9.02,164.26,Mid Core,,13195.32,AA
American Century Global Real Estate I,ARYNX,3,0.96,Real Estate Sector Equity,14.63,3.69,3.99,4.95,No,No,No,No,0,0,0,0,0,0,22.59,27.49,14.68,11.75,10.34,164.26,Mid Core,,13195.32,AA
American Century Global Real Estate Inv,ARYVX,3,0.8,Real Estate Sector Equity,14.63,3.69,3.99,4.95,No,No,No,No,0,0,0,0,0,0,22.34,27.18,14.43,11.53,10.11,164.26,Mid Core,,13195.32,AA
American Century Global Real Estate R,ARYWX,3,0.4,Real Estate Sector Equity,14.63,3.69,3.99,4.95,No,No,No,No,0,0,0,0,0,0,21.74,26.6,13.87,10.97,9.57,164.26,Mid Core,,13195.32,AA
American Century Global Real Estate R5,ARYGX,3,0.96,Real Estate Sector Equity,14.63,3.69,3.99,4.95,No,No,No,No,0,0,0,0,0,0,22.49,27.39,14.67,11.74,10.33,164.26,Mid Core,,13195.32,AA
American Century Global Real Estate R6,ARYDX,3,1.08,Real Estate Sector Equity,14.63,3.69,3.99,4.95,No,No,No,No,0,0,0,0,0,0,22.68,27.59,14.82,11.92,10.46,164.26,Mid Core,,13195.32,AA
American Century Global Real Estate Y,ARYYX,3,1.07,Real Estate Sector Equity,14.63,3.69,3.99,4.95,No,No,No,No,0,0,0,0,0,0,22.74,27.64,14.86,11.91,10.42,164.26,Mid Core,,13195.32,AA
American Century Growth A,TCRAX,4,0,US Equity Large Cap Growth,19.47,2.61,9.27,7.3,No,No,No,No,0,0,0,0,0,0,25.09,30.58,27.92,23.86,17.62,13503.19,Large Growth,,347455.6,AA
American Century Growth C,TWRCX,4,0,US Equity Large Cap Growth,19.47,2.61,9.27,7.3,No,No,No,No,0,0,0,0,0,0,24.25,29.62,26.98,22.94,16.75,13503.19,Large Growth,,347455.6,AA
American Century Growth I,TWGIX,4,0,US Equity Large Cap Growth,19.47,2.61,9.27,7.3,No,No,No,No,0,0,0,0,0,0,25.61,31.19,28.51,24.43,18.15,13503.19,Large Growth,,347455.6,AA
American Century Growth Inv,TWCGX,4,0,US Equity Large Cap Growth,19.47,2.61,9.27,7.3,No,No,No,No,0,0,0,0,0,0,25.37,30.9,28.25,24.17,17.92,13503.19,Large Growth,,347455.6,AA
American Century Growth R,AGWRX,4,0,US Equity Large Cap Growth,19.47,2.61,9.27,7.3,No,No,No,No,0,0,0,0,0,0,24.8,30.27,27.6,23.56,17.33,13503.19,Large Growth,,347455.6,AA
American Century Growth R5,AGWUX,4,0,US Equity Large Cap Growth,19.47,2.61,9.27,7.3,No,No,No,No,0,0,0,0,0,0,25.6,31.18,28.5,24.4,18.03,13503.19,Large Growth,,347455.6,AA
American Century Growth R6,AGRDX,4,0,US Equity Large Cap Growth,19.47,2.61,9.27,7.3,No,No,No,No,0,0,0,0,0,0,25.78,31.37,28.7,24.61,18.26,13503.19,Large Growth,,347455.6,AA
American Century Growth Y,AGYWX,4,0,US Equity Large Cap Growth,19.47,2.61,9.27,7.3,No,No,No,No,0,0,0,0,0,0,25.78,31.36,28.7,24.57,18.11,13503.19,Large Growth,,347455.6,AA
American Century Heritage A,ATHAX,5,0,US Equity Mid Cap,20.75,3.57,9.57,6.62,No,No,No,No,0,0,0,0,0,0,10.95,17.18,24.88,19.49,15.08,5975.09,Mid Growth,,27165.41,AA
American Century Heritage C,AHGCX,5,0,US Equity Mid Cap,20.75,3.57,9.57,6.62,No,No,No,No,0,0,0,0,0,0,10.25,16.33,23.97,18.61,14.21,5975.09,Mid Growth,,27165.41,AA
American Century Heritage I,ATHIX,5,0,US Equity Mid Cap,20.75,3.57,9.57,6.62,No,No,No,No,0,0,0,0,0,0,11.43,17.71,25.45,20.03,15.59,5975.09,Mid Growth,,27165.41,AA
American Century Heritage Inv,TWHIX,5,0,US Equity Mid Cap,20.75,3.57,9.57,6.62,No,No,No,No,0,0,0,0,0,0,11.21,17.48,25.21,19.79,15.36,5975.09,Mid Growth,,27165.41,AA
American Century Heritage R,ATHWX,5,0,US Equity Mid Cap,20.75,3.57,9.57,6.62,No,No,No,No,0,0,0,0,0,0,10.7,16.85,24.57,19.19,14.79,5975.09,Mid Growth,,27165.41,AA
American Century Heritage R5,ATHGX,5,0,US Equity Mid Cap,20.75,3.57,9.57,6.62,No,No,No,No,0,0,0,0,0,0,11.46,17.71,25.47,20.03,15.47,5975.09,Mid Growth,,27165.41,AA
American Century Heritage R6,ATHDX,5,0,US Equity Mid Cap,20.75,3.57,9.57,6.62,No,No,No,No,0,0,0,0,0,0,11.59,17.89,25.63,20.21,15.7,5975.09,Mid Growth,,27165.41,AA
American Century Heritage Y,ATHYX,5,0,US Equity Mid Cap,20.75,3.57,9.57,6.62,No,No,No,No,0,0,0,0,0,0,11.59,17.89,25.63,20.18,15.55,5975.09,Mid Growth,,27165.41,AA
American Century International Gr A,TWGAX,4,0,Global Equity Large Cap,19.5,3.63,7.72,6.24,No,No,No,No,0,4.15,3.82,0.53,0,0,5.84,10.53,16.99,13.67,9.26,1640.89,Large Growth,,48184.41,AA
American Century International Gr C,AIWCX,4,0,Global Equity Large Cap,19.5,3.63,7.72,6.24,No,No,No,No,0,4.15,3.82,0.53,0,0,5.12,9.72,16.1,12.81,8.44,1640.89,Large Growth,,48184.41,AA
American Century International Gr I,TGRIX,4,0.19,Global Equity Large Cap,19.5,3.63,7.72,6.24,No,No,No,No,0,4.15,3.82,0.53,0,0,6.33,11.07,17.52,14.2,9.75,1640.89,Large Growth,,48184.41,AA
American Century International Gr Inv,TWIEX,4,0.01,Global Equity Large Cap,19.5,3.63,7.72,6.24,No,No,No,No,0,4.15,3.82,0.53,0,0,6.07,10.83,17.27,13.97,9.53,1640.89,Large Growth,,48184.41,AA
American Century International Gr R,ATGRX,4,0,Global Equity Large Cap,19.5,3.63,7.72,6.24,No,No,No,No,0,4.15,3.82,0.53,0,0,5.67,10.25,16.68,13.38,8.99,1640.89,Large Growth,,48184.41,AA
American Century International Gr R5,ATGGX,4,0.19,Global Equity Large Cap,19.5,3.63,7.72,6.24,No,No,No,No,0,4.15,3.82,0.53,0,0,6.32,11.06,17.51,14.18,9.63,1640.89,Large Growth,,48184.41,AA
American Century International Gr R6,ATGDX,4,0.33,Global Equity Large Cap,19.5,3.63,7.72,6.24,No,No,No,No,0,4.15,3.82,0.53,0,0,6.46,11.23,17.7,14.35,9.86,1640.89,Large Growth,,48184.41,AA
American Century International Gr Y,ATYGX,4,0.33,Global Equity Large Cap,19.5,3.63,7.72,6.24,No,No,No,No,0,4.15,3.82,0.53,0,0,6.46,11.23,17.69,14.33,9.71,1640.89,Large Growth,,48184.41,AA
American Century International Opps A,AIVOX,3,0,Global Equity Mid/Small Cap,24.25,3.06,4.46,3.55,No,No,No,No,0,1.16,1.79,0,0,0,2.02,9.7,16.58,13.8,11.27,721.08,Mid Growth,,4165.32,AA
American Century International Opps C,AIOCX,3,0,Global Equity Mid/Small Cap,24.25,3.06,4.46,3.55,No,No,No,No,0,1.16,1.79,0,0,0,1.26,8.93,15.72,12.95,10.45,721.08,Mid Growth,,4165.32,AA
American Century International Opps I,ACIOX,3,0,Global Equity Mid/Small Cap,24.25,3.06,4.46,3.55,No,No,No,No,0,1.16,1.79,0,0,0,2.34,10.12,17.06,14.29,11.74,721.08,Mid Growth,,4165.32,AA
American Century International Opps Inv,AIOIX,3,0,Global Equity Mid/Small Cap,24.25,3.06,4.46,3.55,No,No,No,No,0,1.16,1.79,0,0,0,2.22,10.01,16.86,14.07,11.55,721.08,Mid Growth,,4165.32,AA
American Century International Opps R,AIORX,3,0,Global Equity Mid/Small Cap,24.25,3.06,4.46,3.55,No,No,No,No,0,1.16,1.79,0,0,0,1.74,9.41,16.29,13.5,10.99,721.08,Mid Growth,,4165.32,AA
